student_id,minutes_watched,paid_in_q2
6,162.06,1
221,469.07,1
516,92.54,1
520,182.36,1
523,1322.25,1
594,3.73,1
603,8.18,1
608,387.68,1
614,674.40,1
616,4413.80,1
618,3824.45,1
659,1337.60,1
666,332.90,1
691,499.52,1
698,35.98,1
699,0.26,1
702,193.84,1
709,4.60,1
767,0.25,1
772,4160.58,1
778,604.80,1
782,101.76,1
792,13566.92,1
800,482.23,1
801,333.42,1
804,3598.49,1
805,48.47,1
810,760.68,1
829,302.70,1
830,2.45,1
832,358.18,1
838,1523.46,1
840,2244.26,1
841,3896.64,1
842,289.58,1
851,375.37,1
854,6.85,1
862,978.92,1
863,14373.39,1
865,2076.86,1
869,351.74,1
870,510.95,1
872,6.72,1
875,355.17,1
876,2.13,1
882,1080.68,1
893,740.24,1
894,0.07,1
900,3116.52,1
902,69.24,1
903,141.35,1
908,9112.08,1
911,3512.28,1
916,4746.98,1
928,99.05,1
930,638.08,1
933,717.52,1
936,379.87,1
956,1.92,1
959,12.30,1
961,326.13,1
965,2251.60,1
969,231.20,1
973,87.40,1
977,1.20,1
982,38.85,1
985,288.90,1
986,0.07,1
987,448.80,1
988,1092.84,1
991,3280.94,1
994,561.94,1
998,19.89,1
999,2594.24,1
1002,2789.04,1
1006,16.33,1
1008,946.00,1
1010,4.93,1
1014,191.83,1
1015,1026.30,1
1016,112.36,1
1018,171.12,1
1019,17.16,1
1029,187.95,1
1033,0.05,1
1034,646.50,1
1035,1449.77,1
1040,0.16,1
1042,807.76,1
1045,246.75,1
1046,1799.14,1
1052,68.66,1
1056,50.66,1
1057,3225.39,1
1063,18673.30,1
1064,27.08,1
1066,375.32,1
1067,0.81,1
1073,5.03,1
1081,906.70,1
1086,2684.55,1
1091,46.45,1
1099,0.56,1
1102,1967.64,1
1105,2.90,1
1116,0.12,1
1119,219.75,1
1125,11.38,1
1127,433.43,1
1128,1002.52,1
1132,279.74,1
1140,137.60,1
1143,42.04,1
1145,1314.70,1
1151,244.70,1
1155,18.26,1
1158,4.58,1
1165,81.36,1
1166,338.82,1
1169,49.65,1
1173,974.80,1
1175,846.00,1
1183,2666.06,1
1187,63.40,1
1188,70.80,1
1190,124.13,1
1196,238.46,1
1197,3516.56,1
1201,400.24,1
1207,368.20,1
1209,6.47,1
1211,4305.70,1
1212,84.04,1
1214,72.16,1
1215,18512.64,1
1216,0.18,1
1224,19.88,1
1226,12.83,1
1235,5.50,1
1238,152.40,1
1242,106.76,1
1244,78.09,1
1246,2950.46,1
1249,12.23,1
1253,0.45,1
1257,4.14,1
1259,759.92,1
1266,455.24,1
1271,162.20,1
1272,468.00,1
1283,0.99,1
1284,2345.92,1
1292,135.72,1
