student_id,student_country,date_registered,date_watched,minutes_watched,onboarded,paid
258798,IN,2022-01-01,2022-01-01,0.3,1,0
258800,CA,2022-01-01,2022-01-02,2.7,1,1
258800,CA,2022-01-01,2022-02-27,23,1,1
258800,CA,2022-01-01,2022-02-26,32.6,1,1
258800,CA,2022-01-01,2022-02-25,34.2,1,1
258800,CA,2022-01-01,2022-03-25,0.1,1,1
258800,CA,2022-01-01,2022-06-28,0.3,1,1
258800,CA,2022-01-01,2022-03-28,46.1,1,1
258800,CA,2022-01-01,2022-05-30,1.5,1,1
258800,CA,2022-01-01,2022-05-27,44,1,1
258800,CA,2022-01-01,2022-05-26,0.7,1,1
258800,CA,2022-01-01,2022-01-23,30.6,1,1
258800,CA,2022-01-01,2022-01-22,5.2,1,1
258800,CA,2022-01-01,2022-01-16,9.4,1,1
258800,CA,2022-01-01,2022-01-15,21.3,1,1
258800,CA,2022-01-01,2022-01-13,13.1,1,1
258800,CA,2022-01-01,2022-05-12,7.6,1,1
258800,CA,2022-01-01,2022-01-11,7.1,1,1
258800,CA,2022-01-01,2022-02-23,6.9,1,1
258800,CA,2022-01-01,2022-01-10,34.7,1,1
258800,CA,2022-01-01,2022-03-14,2.1,1,1
258800,CA,2022-01-01,2022-01-28,4,1,1
258800,CA,2022-01-01,2022-02-22,1.1,1,1
258800,CA,2022-01-01,2022-02-21,0.5,1,1
258800,CA,2022-01-01,2022-01-06,45.1,1,1
258800,CA,2022-01-01,2022-01-05,61.6,1,1
258800,CA,2022-01-01,2022-01-07,31.7,1,1
258800,CA,2022-01-01,2022-01-04,4.3,1,1
258800,CA,2022-01-01,2022-01-03,46.8,1,1
258800,CA,2022-01-01,2022-04-01,12.9,1,1
258803,US,2022-01-01,2022-07-31,41,1,1
258803,US,2022-01-01,2022-07-29,0.1,1,1
258803,US,2022-01-01,2022-07-28,3.5,1,1
258803,US,2022-01-01,2022-07-30,44.7,1,1
258803,US,2022-01-01,2022-07-26,52,1,1
258803,US,2022-01-01,2022-06-27,6.9,1,1
258803,US,2022-01-01,2022-02-21,6.8,1,1
258803,US,2022-01-01,2022-04-17,1.6,1,1
258803,US,2022-01-01,2022-02-01,67.1,1,1
258803,US,2022-01-01,2022-01-16,0.7,1,1
258803,US,2022-01-01,2022-01-11,37.9,1,1
258803,US,2022-01-01,2022-01-10,19.3,1,1
258803,US,2022-01-01,2022-01-09,28.3,1,1
258803,US,2022-01-01,2022-01-08,52.8,1,1
258803,US,2022-01-01,2022-01-05,21.4,1,1
258803,US,2022-01-01,2022-01-04,42.9,1,1
258803,US,2022-01-01,2022-01-02,86.8,1,1
258803,US,2022-01-01,2022-01-03,43.6,1,1
258803,US,2022-01-01,2022-01-01,62.6,1,1
258804,BD,2022-01-01,2022-01-01,14.2,1,0
258807,US,2022-01-01,2022-01-01,1.8,1,0
258809,ID,2022-01-01,2022-01-04,40,1,0
258809,ID,2022-01-01,2022-01-02,9.2,1,0
258809,ID,2022-01-01,2022-01-01,4.1,1,0
258810,IN,2022-01-01,2022-01-01,3.2,1,0
258811,DZ,2022-01-01,2022-01-13,3.5,1,0
258811,DZ,2022-01-01,2022-01-08,19.9,1,0
258811,DZ,2022-01-01,2022-01-01,1.7,1,0
258811,DZ,2022-01-01,2022-01-04,16.8,1,0
258812,IN,2022-01-01,2022-01-01,2.2,1,0
258813,ET,2022-01-01,2022-01-01,2.1,1,0
258814,IN,2022-01-01,2022-01-26,3.9,1,0
258814,IN,2022-01-01,2022-01-01,4.9,1,0
258815,EG,2022-01-01,2022-01-01,29,1,0
258816,KE,2022-01-01,2022-01-01,0.8,1,0
258817,IN,2022-01-01,2022-01-01,0.4,1,0
258818,IN,2022-01-01,2022-01-03,12.8,1,1
258818,IN,2022-01-01,2022-04-06,5.8,1,1
258818,IN,2022-01-01,2022-04-01,6.7,1,1
258818,IN,2022-01-01,2022-06-12,4.8,1,1
258818,IN,2022-01-01,2022-03-31,20.9,1,1
258818,IN,2022-01-01,2022-08-19,2.7,1,1
258818,IN,2022-01-01,2022-09-19,17.8,1,1
258818,IN,2022-01-01,2022-09-16,11.1,1,1
258818,IN,2022-01-01,2022-09-15,3,1,1
258818,IN,2022-01-01,2022-09-14,12.8,1,1
258818,IN,2022-01-01,2022-02-15,15.7,1,1
258818,IN,2022-01-01,2022-08-17,32.7,1,1
258818,IN,2022-01-01,2022-02-14,15.1,1,1
258818,IN,2022-01-01,2022-01-06,15.5,1,1
258818,IN,2022-01-01,2022-03-23,28.7,1,1
258818,IN,2022-01-01,2022-06-19,4.1,1,1
258818,IN,2022-01-01,2022-04-30,10.2,1,1
258818,IN,2022-01-01,2022-04-29,12,1,1
258818,IN,2022-01-01,2022-04-28,15.6,1,1
258818,IN,2022-01-01,2022-01-07,40,1,1
258818,IN,2022-01-01,2022-02-17,2,1,1
258818,IN,2022-01-01,2022-02-16,7.8,1,1
258818,IN,2022-01-01,2022-02-13,4.9,1,1
258818,IN,2022-01-01,2022-02-12,22,1,1
258818,IN,2022-01-01,2022-02-11,15.9,1,1
258818,IN,2022-01-01,2022-02-10,20.2,1,1
258818,IN,2022-01-01,2022-02-09,4.9,1,1
258818,IN,2022-01-01,2022-02-01,7.6,1,1
258818,IN,2022-01-01,2022-01-31,3.8,1,1
258818,IN,2022-01-01,2022-01-29,6.9,1,1
258818,IN,2022-01-01,2022-01-28,11.7,1,1
258818,IN,2022-01-01,2022-01-27,18.6,1,1
258818,IN,2022-01-01,2022-01-26,27.8,1,1
258818,IN,2022-01-01,2022-01-25,24,1,1
258818,IN,2022-01-01,2022-01-24,5.9,1,1
258818,IN,2022-01-01,2022-01-23,19.5,1,1
258818,IN,2022-01-01,2022-01-21,39.8,1,1
258818,IN,2022-01-01,2022-01-20,18.6,1,1
258818,IN,2022-01-01,2022-01-18,18.8,1,1
258818,IN,2022-01-01,2022-01-17,28.2,1,1
258818,IN,2022-01-01,2022-01-14,9.2,1,1
258818,IN,2022-01-01,2022-01-13,19,1,1
258818,IN,2022-01-01,2022-01-12,14.4,1,1
258818,IN,2022-01-01,2022-01-11,45,1,1
258818,IN,2022-01-01,2022-01-10,27.1,1,1
258818,IN,2022-01-01,2022-01-04,43.6,1,1
258818,IN,2022-01-01,2022-01-19,30.5,1,1
258818,IN,2022-01-01,2022-01-05,34.6,1,1
258818,IN,2022-01-01,2022-04-07,10.5,1,1
258818,IN,2022-01-01,2022-07-27,3,1,1
258818,IN,2022-01-01,2022-07-26,13.9,1,1
258818,IN,2022-01-01,2022-03-30,29.4,1,1
258818,IN,2022-01-01,2022-03-29,32.9,1,1
258818,IN,2022-01-01,2022-03-24,13.4,1,1
258818,IN,2022-01-01,2022-03-22,17,1,1
258818,IN,2022-01-01,2022-03-21,18.1,1,1
258818,IN,2022-01-01,2022-03-20,15.8,1,1
258818,IN,2022-01-01,2022-03-17,10.2,1,1
258818,IN,2022-01-01,2022-03-18,27.3,1,1
258818,IN,2022-01-01,2022-03-16,27.2,1,1
258818,IN,2022-01-01,2022-03-15,18.6,1,1
258818,IN,2022-01-01,2022-03-13,34.7,1,1
258818,IN,2022-01-01,2022-05-12,8.7,1,1
258818,IN,2022-01-01,2022-05-11,69.1,1,1
258818,IN,2022-01-01,2022-05-10,27.6,1,1
258818,IN,2022-01-01,2022-03-12,19.4,1,1
258818,IN,2022-01-01,2022-03-11,18.5,1,1
258818,IN,2022-01-01,2022-03-09,30.5,1,1
258818,IN,2022-01-01,2022-03-08,24,1,1
258818,IN,2022-01-01,2022-03-07,5.8,1,1
258818,IN,2022-01-01,2022-03-04,12.3,1,1
258818,IN,2022-01-01,2022-03-03,7.1,1,1
258818,IN,2022-01-01,2022-06-04,0.4,1,1
258818,IN,2022-01-01,2022-06-03,51.9,1,1
258818,IN,2022-01-01,2022-02-23,18,1,1
258818,IN,2022-01-01,2022-06-01,0.2,1,1
258818,IN,2022-01-01,2022-02-18,6.7,1,1
258819,ES,2022-01-01,2022-01-01,6.6,1,0
258822,IN,2022-01-01,2022-01-01,0.1,1,0
258822,IN,2022-01-01,2022-01-26,31.8,1,1
258822,IN,2022-01-01,2022-01-24,16.9,1,1
258822,IN,2022-01-01,2022-01-20,47.9,1,1
258822,IN,2022-01-01,2022-01-19,1,1,1
258822,IN,2022-01-01,2022-01-16,5.9,1,1
258822,IN,2022-01-01,2022-01-15,3,1,1
258822,IN,2022-01-01,2022-01-14,22.1,1,1
258822,IN,2022-01-01,2022-01-18,60.5,1,1
258822,IN,2022-01-01,2022-01-13,31.5,1,1
258822,IN,2022-01-01,2022-01-31,2.9,1,1
258822,IN,2022-01-01,2022-01-29,4.9,1,1
258822,IN,2022-01-01,2022-01-10,68.3,1,1
258822,IN,2022-01-01,2022-01-12,36,1,1
258822,IN,2022-01-01,2022-01-09,49.9,1,1
258824,US,2022-01-01,2022-01-01,1.3,1,0
258826,CN,2022-01-01,2022-01-01,0.3,1,0
258827,IN,2022-01-01,2022-01-01,0.3,1,0
258828,IN,2022-01-01,2022-01-01,0.4,1,0
258829,BR,2022-01-01,2022-01-02,12.5,1,0
258830,BY,2022-01-01,2022-01-01,0.9,1,0
258831,SG,2022-01-01,2022-01-01,0.1,1,0
258832,IN,2022-01-01,2022-02-28,0.3,1,0
258832,IN,2022-01-01,2022-03-01,0.1,1,0
258832,IN,2022-01-01,2022-03-13,3.6,1,1
258832,IN,2022-01-01,2022-03-11,71,1,1
258832,IN,2022-01-01,2022-03-18,36.2,1,1
